Translation,Short Code,,Voxx Part Number,,,,Description,,,,,,,,,,,,
ItemTranslation,Field_3006,Field_3084,Field_3000,Field_3007,Field_3501,Field_3919,Field_3003,Field_3077,Field_3002,Field_3855,Field_3122,Field_4036,Field_4034,Field_3004,Field_3964,Field_3532,Income,Expense,CostOfSales
VV- Hub Rings:106-7810,106-7810,,106-7810,,,,D-XXXXX From 106.2 to 78.1 (Hub Ring Set of 4 - Plastic) Chevy,,,,,,,,50000-981443814,,B0000-981443814,,
